ISO 15924 (sortkey)	Display Name	Full Name	Endonym	First Unicode Version	Sample	RTL?	Language of Origin	Territory of Origin	Writing System Orig	Group of other writing systems	Scope
Chis	Chisoi	Chisoi		17	𖶓	no	kyw	IN			Individual script
Egyp	Egyptian hieroglyphs	Egyptian hieroglyphs		5.2	𓅓	no	egy	EG			Individual script
Hani	Han characters	Han (Hanzi, Kanji, Hanja)		1.1	字	no	zho	CN			Group
Invented	Invented	Recently invented in modern times									Group
Maya	Mayan hieroglyphs	Mayan hieroglyphs					myn	GT			Individual script
Pcun	Proto-Cuneiform	Proto-Cuneiform					sux	IQ			Individual script
Qaaa	Reserved for private use (start)	Reserved for private use (start)									Special Code
Qabx	Reserved for private use (end)	Reserved for private use (end)									Special Code
Zinh	Code for inherited script	Code for inherited script			̏	n/a					Special Code
Zmth	Mathematical notation	Mathematical notation		3.2							Special Code
Zsye	Symbols (Emoji variant)	Symbols (Emoji variant)		6							Special Code
Zsym	Symbols	Symbols		1.1							Special Code
Zxxx	Unwritten documents	Code for unwritten documents									Special Code
Zyyy	Undetermine script	Code for undetermined script			@	n/a					Special Code
Zzzz	Uncoded script	Code for uncoded script			﷐	n/a					Special Code
Egyh	Egyptian hieratic	Egyptian hieratic		5.2			egy	EG	Egyp		Individual script
Egyd	Egyptian demotic	Egyptian demotic					egy	EG	Egyh		Individual script
Merc	Meroitic Cursive	Meroitic Cursive		6.1	𐦠	Yes	xmr	SD	Egyd		Individual script
Mero	Meroitic Hieroglyphs	Meroitic Hieroglyphs		6.1	𐦀	Yes	xmr	SD	Egyp		Individual script
Psin	Proto-Sinaitic	Proto-Sinaitic					hbo	EG	Egyp		Individual script
Narb	Old North Arabian	Old North Arabian (Ancient North Arabian)		7	𐪕	Yes	xna	SA	Psin		Individual script
Phnx	Phoenician	Phoenician		5	𐤀	Yes	phn	LB	Psin		Individual script
Armi	Imperial Aramaic	Imperial Aramaic		5.2	𐡀	Yes	arc	IR	Phnx		Individual script
Brah	Brahmi	Brahmi		6	𑀅	no	pka	IN	Armi		Individual script
Bhks	Bhaiksuki	Bhaiksuki	𑰥𑰹𑰎𑰿𑰬𑰲𑰎𑰱	9	𑰎	no	san	IN	Brah		Individual script
Cham	Cham	Cham	ꨀꨇꩉ ꨌꩌ	5.1	ꨀ	no	cjm	VN	Brah		Individual script
Gran	Grantha	Grantha	𑌗𑍍𑌰𑌨𑍍𑌥	7	𑌕	no	san	IN	Brah		Individual script
Diak	Dives Akuru	Dives Akuru	𑤙𑤱𑤩𑤵𑤭𑤱 𑤀𑤌𑤳𑤧𑤳	13	𑤌	no	div	MV	Gran		Individual script
Mlym	Malayalam	Malayalam	മലയാളമെഴുത്ത്	1.1	ക	no	mal	IN	Gran		Individual script
Saur	Saurashtra	Saurashtra	ꢱꣃꢬꢵꢰ꣄ꢜ꣄ꢬ	5.1	ꢂ	no	saz	IN	Gran		Individual script
Sinh	Sinhala	Sinhala	සිංහල අක්ෂර මාලාව	3	අ	no	sin	LK	Gran		Individual script
Tutg	Tulu-Tigalari	Tulu-Tigalari		16	𑎒	no	san	IN	Gran		Individual script
Kawi	Kawi	Kawi	𑼄𑼒𑽂𑼰𑼬𑼒𑼮𑼶	15	𑼛	no	kaw	ID	Brah		Individual script
Bali	Balinese	Balinese	ᬅᬓ᭄ᬱᬭᬩᬮᬶ	5	ᬅ	no	ban	ID	Kawi		Individual script
Batk	Batak	Batak	ᯘᯮᯒᯖ᯲ ᯅᯖᯂ᯲	6	ᯀ	no	bbc	ID	Kawi		Individual script
Bugi	Buginese	Buginese	ᨒᨚᨈᨑ	4.1	ᨀ	no	bug	ID	Kawi		Individual script
Java	Javanese	Javanese	ꦲꦏ꧀ꦱꦫꦗꦮ	5.2	ꦄ	no	jav	ID	Kawi		Individual script
Maka	Makasar	Makasar	𑻪𑻢𑻪𑻢	11	𑻥	no	mak	ID	Kawi		Individual script
