Language Code	Glottocode	Display Name	Endonym	Medium	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
okb	okob1241	Okobo			Latn	Vigorous	2 Stable	Still	0	50,000		west3012	Yes	
qxh	pana1306	Panao Huánuco Quechua			Latn	Developing	2 Stable	Ascending	0	50,000	que	pana1312	Possibly	But probably want to use macrolanguage
pfe	peer1241	Peere			Latn	Developing	2 Stable	Emerging	0	50,000		sout3238	Yes	
atu	reel1238	Reel			Latn	Vigorous	2 Stable	Still	0	50,000		nuer1245	Yes	
bxr	russ1264	Russia Buriat		Spoken & Written		Developing	3 Endangered	Ascending	0	50,000	bua	buri1258	Probably not	It's just a country variant of the macrolanguage
seq	sena1262	Senara Sénoufo			Latn	Vigorous	2 Stable	Still	0	50,000		nort3254	Yes	
sjs	senh1238	Senhaja De Srair				Vigorous	3 Endangered	Emerging	0	50,000		nort3248	Yes, with caveat	Some sources report this as extinct, some as active
soe	song1305	Songomeno			Latn	Vigorous	2 Stable	Emerging	0	50,000		song1311	Yes	
sub	suku1259	Suku			Latn	Vigorous	2 Stable	Still	0	50,000		yaka1278	Yes	
sqm	suma1264	Suma			Latn	Vigorous	2 Stable	Emerging	0	50,000		gbey1244	Yes	
cuu	taiy1242	Tai Ya			Lana	Vigorous	2 Stable	Emerging	0	50,000		wudi1241	Yes	
dts	toro1252	Toro So Dogon			Latn	Educational	1 Institutional	Ascending	0	50,000		esca1235	Yes	
neb	tour1242	Toura (Côte d'Ivoire)			Latn	Developing	2 Stable	Emerging	0	50,000		tour1245	Yes	
tjg	tunj1244	Tunjung			Latn	Threatened	3 Endangered	Still	0	50,000		bari1287	Yes	
uth	east2402	ut-Hun			Latn		2 Stable	Emerging	0	50,000		huns1239	Yes	
vro	sout2679	Võro	võro	Spoken & Written	Latn	Threatened	3 Endangered	Ascending	0	50,000	est	finn1317	Possibly	But probably want to use macrolanguage
wwa	waam1244	Waama			Latn	Developing	2 Stable	Ascending	0	50,000		waam1245	Yes	
ekr	yace1238	Yace			Latn	Developing	2 Stable	Still	0	50,000		yaty1238	Yes	
ynq	yend1241	Yendang			Latn		2 Stable	Still	0	50,000		waka1285	Yes	
dai	dayy1236	Day			Latn	Developing	2 Stable	Emerging	0	49,900		buak1234	Yes	
otm	east2556	Eastern Highland Otomi			Latn	Developing	2 Stable	Ascending	0	49,300	oto	east2737	Yes	
sdo	buka1257	Bukar-Sadung Bidayuh	bahasa Bidayuh Bukar-Sadong		Latn	Developing	2 Stable	Emerging	0	49,101		bida1240	Yes	
dho	dhod1238	Dhodia			Deva	Vigorous	2 Stable	Still	0	49,097		bhil1254	Yes	
rub	gung1250	Gungu			Latn	Developing	2 Stable	Ascending	0	49,000		grea1289	Yes	
kqe	kala1388	Kalagan			Latn	Developing	3 Endangered	Ascending	0	48,900		kaga1259	Yes	
lef	lele1264	Lelemi			Latn	Developing	2 Stable	Ascending	0	48,900		lele1263	Yes	
hgm	haio1238	Hai//om			Latn	Vigorous	2 Stable	Still	0	48,400		nort3245	Yes	
toc	coyu1235	Coyutla Totonac			Latn	Developing	2 Stable	Emerging	0	48,100		lowl1244	Yes	
aqg	arig1246	Arigidi			Latn	Vigorous	2 Stable	Ascending	0	48,000		defo1239	Yes	
zln	lian1252	Lianshan Zhuang			Hani	Vigorous	3 Endangered	Still	0	48,000	zha	lian1261	Possibly	But probably want to use macrolanguage
